Number,Steps,Path
65,27,"[65, 196, 98, 148, 74, 112, 56, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 16, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
66,27,"[66, 100, 50, 76, 38, 58, 29, 88, 44, 22, 34, 17, 52, 26, 13, 40, 20, 16, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
67,27,"[67, 202, 101, 304, 152, 76, 58, 29, 88, 44, 22, 34, 17, 52, 26, 13, 40, 20, 16, 8, 1, 1, 1, 1, 1, 1, 1, 1]"
68,14,"[68, 52, 26, 40, 20, 16, 8, 1, 1, 1, 1, 1, 1, 1, 1]"
69,14,"[69, 208, 104, 40, 20, 16, 8, 1, 1, 1, 1, 1, 1, 1, 1]"
70,14,"[70, 106, 53, 160, 80, 40, 16, 8, 1, 1, 1, 1, 1, 1, 1]"
71,102,"[71, 214, 107, 322, 161, 484, 242, 121, 364, 182, 91, 274, 137, 412, 206, 103, 310, 155, 466, 233, 700, 350, 175, 526, 263, 790, 395, 1186, 593, 1780, 890, 445, 1336, 668, 334, 167, 502, 251, 754, 377, 1132, 566, 283, 850, 425, 1276, 638, 319, 958, 479, 1438, 719, 2158, 1079, 3238, 1619, 4858, 2429, 7288, 3644, 1822, 911, 2734, 1367, 4102, 2051, 6154, 3077, 9232, 4616, 2308, 1154, 577, 1732, 866, 433, 1300, 650, 325, 976, 488, 244, 122, 184, 92, 70, 35, 106, 53, 160, 80, 40, 16, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
72,22,"[72, 28, 14, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 16, 8, 1, 1, 1, 1, 1, 1, 1, 1]"
73,115,"[73, 220, 110, 166, 83, 250, 125, 376, 188, 94, 142, 71, 214, 107, 322, 161, 484, 242, 121, 364, 182, 91, 274, 137, 412, 206, 103, 310, 155, 466, 233, 700, 350, 175, 526, 263, 790, 395, 1186, 593, 1780, 890, 445, 1336, 668, 334, 167, 502, 251, 754, 377, 1132, 566, 283, 850, 425, 1276, 638, 319, 958, 479, 1438, 719, 2158, 1079, 3238, 1619, 4858, 2429, 7288, 3644, 1822, 911, 2734, 1367, 4102, 2051, 6154, 3077, 9232, 4616, 2308, 1154, 577, 1732, 866, 433, 1300, 650, 325, 976, 488, 244, 122, 61, 184, 92, 70, 35, 106, 53, 160, 80, 40, 16, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
74,22,"[74, 112, 56, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 16, 8, 1, 1, 1, 1, 1, 1, 1, 1]"
75,14,"[75, 226, 113, 340, 170, 85, 256, 128, 1, 1, 1, 1, 1, 1, 1]"
76,22,"[76, 58, 29, 88, 44, 22, 34, 17, 52, 26, 13, 40, 20, 16, 8, 1, 1, 1, 1, 1, 1, 1, 1]"
77,22,"[77, 232, 116, 88, 44, 34, 17, 52, 26, 13, 40, 20, 16, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
78,35,"[78, 118, 59, 178, 89, 268, 134, 67, 202, 101, 304, 152, 76, 58, 29, 88, 44, 22, 34, 17, 52, 26, 13, 40, 20, 16, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
79,35,"[79, 238, 119, 358, 179, 538, 269, 808, 404, 202, 101, 304, 152, 58, 29, 88, 44, 22, 34, 17, 52, 26, 13, 40, 20, 16, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
80,9,"[80, 16, 8, 1, 1, 1, 1, 1, 1, 1]"
81,22,"[81, 244, 122, 184, 92, 70, 35, 106, 53, 160, 80, 40, 16, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
82,110,"[82, 124, 62, 94, 47, 142, 71, 214, 107, 322, 161, 484, 242, 121, 364, 182, 91, 274, 137, 412, 206, 103, 310, 155, 466, 233, 700, 350, 175, 526, 263, 790, 395, 1186, 593, 1780, 890, 445, 1336, 668, 334, 167, 502, 251, 754, 377, 1132, 566, 283, 850, 425, 1276, 638, 319, 958, 479, 1438, 719, 2158, 1079, 3238, 1619, 4858, 2429, 7288, 3644, 1822, 911, 2734, 1367, 4102, 2051, 6154, 3077, 9232, 4616, 2308, 1154, 577, 1732, 866, 433, 1300, 650, 325, 976, 488, 244, 122, 61, 184, 92, 46, 70, 35, 106, 53, 160, 80, 40, 16, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
83,110,"[83, 250, 125, 376, 188, 94, 142, 71, 214, 107, 322, 161, 484, 242, 121, 364, 182, 91, 274, 137, 412, 206, 103, 310, 155, 466, 233, 700, 350, 175, 526, 263, 790, 395, 1186, 593, 1780, 890, 445, 1336, 668, 334, 167, 502, 251, 754, 377, 1132, 566, 283, 850, 425, 1276, 638, 319, 958, 479, 1438, 719, 2158, 1079, 3238, 1619, 4858, 2429, 7288, 3644, 1822, 911, 2734, 1367, 4102, 2051, 6154, 3077, 9232, 4616, 2308, 1154, 577, 1732, 866, 433, 1300, 650, 325, 976, 488, 244, 122, 61, 184, 92, 70, 35, 106, 53, 160, 80, 40, 16, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
84,9,"[84, 64, 32, 1, 1, 1, 1, 1, 1, 1]"
85,9,"[85, 256, 128, 1, 1, 1, 1, 1, 1, 1]"
86,30,"[86, 130, 65, 196, 98, 49, 148, 74, 112, 56, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 16, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
87,30,"[87, 262, 131, 394, 197, 592, 296, 148, 112, 56, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 16, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
88,17,"[88, 34, 17, 52, 26, 13, 40, 20, 16, 8, 1, 1, 1, 1, 1, 1, 1, 1]"
89,30,"[89, 268, 134, 202, 101, 304, 152, 76, 58, 29, 88, 44, 22, 34, 17, 52, 26, 13, 40, 20, 16, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
90,17,"[90, 136, 68, 52, 26, 40, 20, 16, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
